instrument,type,role
farfisa,Electronic instrument,other
fife,Wind instrument,other
finger snaps,Percussion instrument,drums
fiscorn,Wind instrument,other
five-string banjo,String instrument,banjo
flageolet,Wind instrument,other
flamenco guitar,String instrument,guitar
floppy disk drive,Electronic instrument,other
flugelhorn,Wind instrument,other
flumpet,Wind instrument,other
flute,Wind instrument,flute
flutina,Wind instrument,flute
folk harp,String instrument,harp
foot stomps,Percussion instrument,drums
footbass,Wind instrument,bass
four-string banjo,String instrument,banjo
frame drum,Percussion instrument,drums
free reed,Wind instrument,other
French horn,Wind instrument,other
fretless bass,String instrument,bass
friction drum,Percussion instrument,drums
friction idiophone,Percussion instrument,drums
frottoir,Percussion instrument,drums
fujara,Wind instrument,other
gadulka,String instrument,strings
gaida,Wind instrument,other
gaita asturiana,Wind instrument,other
gaita sanabresa,Wind instrument,other
gambang,Percussion instrument,drums
game console sound chip,Electronic instrument,other
gamelan,Ensemble,other
ganzá,Percussion instrument,drums
gaohu,String instrument,strings
garklein recorder,Wind instrument,other
gayageum,String instrument,strings
gemshorn,Wind instrument,other
gendèr,Family,other
gendèr barung,Percussion instrument,drums
gendèr panerus,Percussion instrument,drums
gendèr wayang,Percussion instrument,drums
geomungo,String instrument,strings
German concertina,Wind instrument,other
ghatam,Percussion instrument,drums
ghaychak,String instrument,strings
gizmo,Other instrument,other
glass harmonica,Percussion instrument,drums
glass harp,Percussion instrument,drums
glockenspiel,Percussion instrument,drums
goblet drum,Percussion instrument,drums
gong bass drum,Percussion instrument,drums
gong-chime,Percussion instrument,drums
gopichant,String instrument,strings
gramorimba,Percussion instrument,drums
Gravikord,String instrument,strings
great bass recorder / c-bass recorder,Wind instrument,other
Great Highland bagpipe,Wind instrument,other
guan,Wind instrument,other
guban,Ensemble,other
guitalele,String instrument,strings
guitarrón mexicano,String instrument,guitar
guitorgan,Electronic instrument,keys
gumbri,String instrument,strings
guqin,String instrument,strings
gusli,String instrument,strings
guzheng,String instrument,strings
güira,Percussion instrument,drums
haegeum,String instrument,strings
hammered dulcimer,String instrument,strings
Hammond organ,Electronic instrument,keys
handclaps,Percussion instrument,drums
handpan,Percussion instrument,drums
hard disk drive,Electronic instrument,other
hardingfele,String instrument,strings
harmonica,Wind instrument,other
harmonium,Wind instrument,other
harp,String instrument,strings
harpsichord,String instrument,keys
Hawaiian guitar,String instrument,guitar
heckelphone,Wind instrument,other
heike biwa,String instrument,strings
helicon,Wind instrument,other
hi-hat,Percussion instrument,drums
hichiriki,Wind instrument,other
hmông flute,Wind instrument,other
horn,Wind instrument,other
hotchiku,Wind instrument,other
hourglass drum,Percussion instrument,drums
hue puruhau,Wind instrument,other
hulusi,Wind instrument,other
hummel,String instrument,strings
huqin,Family,other
hurdy gurdy,String instrument,strings
hydraulophone,Other instrument,other
hyoshigi,Percussion instrument,drums
hümmelchen,Wind instrument,other
igil,String instrument,strings
Indonesian rebab,String instrument,strings
Irish bouzouki,String instrument,strings
Irish harp / clàrsach,String instrument,strings
janggu,Percussion instrument,drums
jantar,String instrument,strings
